Time,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603
2017-06-13 16:30:35,0.0,578.74,1,1,1,1017.01,6.93,386.67,0.0,1,1,1,1,1,1,1,17.76,2.05,842.77,1,2,1,1,2,1,0,54.58,1.59,508.99,2,1,1,1,2,7.18,100.03,261.41,25.49,1.6,1.29,0.63,0.32,2,1,9.61,4.05,195.29,0.0,1,1,1
2017-06-13 16:31:13,0.0,578.06,1,1,1,1017.01,6.97,386.54,0.0,1,1,1,1,1,1,1,17.77,2.05,826.7,1,2,1,1,2,1,0,54.27,1.59,512.14,2,1,1,1,2,7.19,99.08,264.26,26.74,1.6,1.27,0.63,0.32,2,1,9.61,4.07,194.98,0.0,1,1,1
2017-06-13 16:31:51,0.0,578.96,1,1,1,1017.01,6.97,386.77,0.0,1,1,1,1,1,1,1,17.79,2.05,810.81,1,2,1,1,2,1,0,53.68,1.59,516.29,2,1,1,1,2,7.2,99.49,267.18,27.42,1.6,1.27,0.63,0.32,2,1,9.61,4.07,195.13,0.0,1,1,1
2017-06-13 16:32:29,0.0,578.78,1,2,1,1017.01,6.97,386.77,0.07,2,1,1,1,1,1,1,17.8,2.05,794.6,1,2,1,1,2,1,0,53.5,1.59,518.9,2,1,1,1,2,7.21,99.1,269.87,28.42,1.6,1.27,0.63,0.33,2,1,9.61,4.08,195.11,0.0,1,1,1
2017-06-13 16:33:07,0.0,564.19,1,2,1,141.63,7.69,337.48,2.38,2,1,1,2,1,2,1,17.77,2.05,790.18,1,2,1,1,2,1,0,52.99,1.59,523.4,2,1,1,1,2,7.21,98.87,272.13,28.99,1.6,1.27,0.63,0.33,2,1,9.61,4.05,195.33,0.0,1,1,1
2017-06-13 16:33:45,0.0,545.52,1,2,1,140.93,8.01,315.14,2.38,2,1,1,2,1,2,1,17.7,2.05,791.14,1,2,1,1,2,1,0,53.04,1.59,527.98,2,1,1,1,2,7.22,99.08,274.72,29.76,1.6,1.3,0.63,0.33,2,1,9.61,4.08,195.06,0.0,1,1,1
2017-06-13 16:34:23,0.0,528.48,1,2,1,140.99,7.54,341.2,2.37,2,1,1,2,1,2,1,17.67,2.05,795.67,1,2,1,1,2,1,0,52.45,1.59,532.58,2,1,1,1,2,7.22,98.87,277.75,30.76,1.6,1.27,0.63,0.32,2,1,9.61,4.02,195.21,0.0,1,1,1
2017-06-13 16:35:01,0.0,510.91,1,2,1,140.57,7.34,358.27,2.38,2,1,1,2,1,2,1,17.71,2.05,799.51,1,2,1,1,2,1,0,52.73,1.59,534.09,2,1,1,1,2,7.23,99.26,280.02,31.3,1.6,1.27,0.63,0.33,2,1,9.61,4.02,195.25,0.0,1,1,1
2017-06-13 16:35:39,3.56,495.09,2,2,1,140.77,7.18,369.29,2.38,2,1,1,2,1,2,1,17.77,2.05,802.96,1,2,1,1,2,1,0,52.73,1.59,537.79,2,1,1,1,2,7.24,99.15,282.49,31.94,1.6,1.27,0.63,0.33,2,1,9.61,3.99,195.33,0.0,1,1,1
2017-06-13 16:36:17,4.49,510.43,2,2,1,140.41,7.09,375.3,2.38,2,1,1,2,1,2,1,17.8,2.05,803.66,1,2,1,1,2,1,0,52.5,1.59,541.39,2,1,1,1,2,7.24,99.67,284.51,32.61,1.6,1.28,0.63,0.33,2,1,9.61,4.0,195.42,0.0,1,1,1
2017-06-13 16:36:55,4.52,523.62,2,2,1,140.12,7.03,379.72,2.38,2,1,1,2,1,2,1,17.66,2.05,807.53,1,2,1,1,2,1,0,52.55,1.59,545.48,2,1,1,1,2,7.24,100.26,286.19,33.38,1.59,1.27,0.63,0.33,2,1,9.61,4.02,195.25,0.0,1,1,1
2017-06-13 16:37:33,4.52,538.68,2,2,1,139.96,6.99,382.65,2.38,2,1,1,2,1,2,1,17.79,2.05,811.25,1,2,1,1,2,1,0,52.06,1.59,547.44,2,1,1,1,2,7.25,100.62,288.01,33.65,1.59,1.28,0.63,0.33,2,1,9.61,4.07,195.33,0.0,1,1,1
2017-06-13 16:38:11,4.52,556.76,2,2,1,139.93,6.99,383.8,2.38,2,1,1,2,1,2,1,17.73,2.05,812.65,1,2,1,1,2,1,0,52.45,1.59,551.67,2,1,1,1,2,7.25,101.44,289.7,34.53,1.6,1.27,0.63,0.33,2,1,9.61,4.07,195.46,0.0,1,1,1
2017-06-13 16:38:49,4.51,571.6,2,2,1,139.8,7.01,382.34,2.38,2,1,1,2,1,2,1,17.76,2.05,815.18,1,2,1,1,2,1,0,52.01,1.59,553.48,2,1,1,1,2,7.25,101.54,291.05,34.91,1.6,1.28,0.63,0.33,2,1,9.61,4.05,195.46,0.0,1,1,1
2017-06-13 16:39:26,4.5,588.24,2,2,1,139.49,7.01,383.34,2.38,2,1,1,2,1,2,1,17.72,2.05,817.46,1,2,1,1,2,1,0,52.29,1.59,557.09,2,1,1,1,2,7.26,102.69,292.43,35.18,1.6,1.27,0.63,0.33,2,1,9.61,4.02,195.46,0.0,1,1,1
2017-06-13 16:40:04,4.51,604.85,2,2,1,139.61,7.01,383.7,2.38,2,1,1,2,1,2,1,17.77,2.05,819.78,1,2,1,1,2,1,0,52.4,1.59,560.9,2,1,1,1,2,7.26,102.68,293.45,35.57,1.6,1.27,0.63,0.33,2,1,9.61,4.1,195.54,0.0,1,1,1
2017-06-13 16:40:42,4.5,618.21,2,2,1,139.55,6.98,384.23,2.38,2,1,1,2,1,2,1,17.72,2.05,823.35,1,2,1,1,2,1,0,52.27,1.59,562.96,2,1,1,1,2,7.26,104.24,293.96,35.95,1.6,1.27,0.63,0.33,2,1,9.61,4.02,195.43,0.0,1,1,1
2017-06-13 16:41:20,4.51,634.86,2,2,1,139.23,6.98,385.39,2.38,2,1,1,2,1,2,1,17.76,2.05,824.82,1,2,1,1,2,1,0,52.47,1.59,568.02,2,1,1,1,2,7.26,104.97,294.22,36.57,1.6,1.3,0.63,0.33,2,1,9.61,4.08,195.38,0.0,1,1,1
2017-06-13 16:41:58,4.51,649.7,2,2,1,139.13,6.97,385.64,2.38,2,1,1,2,1,2,1,17.68,2.05,828.07,1,2,1,1,2,1,0,52.17,1.59,572.03,2,1,1,1,2,7.26,105.56,294.92,36.76,1.59,1.28,0.63,0.33,2,1,9.61,4.13,195.38,0.0,1,1,1
2017-06-13 16:42:36,4.52,666.6,2,2,1,138.91,6.94,386.92,2.38,2,1,1,1,1,2,1,17.73,2.05,831.24,1,2,1,1,2,1,0,52.68,1.59,575.14,2,1,1,1,2,7.26,106.64,295.37,37.3,1.6,1.26,0.63,0.33,2,1,9.61,4.07,195.27,0.0,1,1,1
2017-06-13 16:43:14,4.51,680.04,2,2,1,138.91,8.0,328.54,2.38,2,1,1,2,1,2,1,17.69,2.05,833.64,1,2,1,1,2,1,0,52.73,1.59,578.52,2,1,1,1,2,7.26,106.97,295.34,37.41,1.6,1.26,0.63,0.33,2,1,9.61,4.1,195.39,0.0,1,1,1
2017-06-13 16:43:52,4.49,694.65,2,2,1,138.81,7.59,349.41,2.38,2,1,1,2,1,2,1,17.74,2.05,837.69,1,2,1,1,2,1,0,52.76,1.59,581.07,2,1,1,1,2,7.26,108.43,295.37,38.07,1.6,1.28,0.63,0.33,2,1,9.61,4.13,195.35,0.0,1,1,1
2017-06-13 16:44:30,4.52,708.0,2,2,1,138.68,7.26,368.37,2.38,2,1,1,2,1,2,1,17.75,2.05,837.78,1,2,1,1,2,1,0,53.06,1.59,583.98,2,1,1,1,2,7.26,109.25,295.37,38.37,1.6,1.29,0.63,0.33,2,1,9.61,4.08,195.25,0.0,1,1,1
2017-06-13 16:45:08,4.49,724.31,2,2,1,138.68,7.07,378.88,2.38,2,1,1,2,1,2,1,17.62,2.05,840.81,1,2,1,1,2,1,0,52.97,1.59,586.39,2,1,1,1,2,7.26,110.18,295.24,38.22,1.6,1.27,0.63,0.33,2,1,9.61,4.08,194.97,0.0,1,1,1
2017-06-13 16:45:46,4.51,739.08,2,2,1,138.52,6.98,385.29,2.38,2,1,1,2,1,2,1,17.67,2.05,842.49,1,2,1,1,2,1,0,53.29,1.59,591.51,2,1,1,1,2,7.26,111.25,295.05,38.8,1.6,1.28,0.63,0.33,2,1,9.61,4.13,194.97,0.0,1,1,1
2017-06-13 16:46:24,4.51,755.82,2,2,1,138.52,6.94,388.07,2.38,2,1,1,1,1,2,1,17.75,2.05,845.5,1,2,1,1,2,1,0,53.06,1.59,595.02,2,1,1,1,2,7.26,111.77,294.7,38.8,1.6,1.27,0.63,0.33,2,1,9.61,4.13,194.65,0.0,1,1,1
2017-06-13 16:47:02,4.49,771.01,2,2,1,138.52,8.32,322.22,2.38,2,1,1,2,1,2,1,17.7,2.05,847.73,1,2,1,1,2,1,0,53.76,1.59,597.83,2,1,1,1,2,7.26,112.92,294.62,38.95,1.6,1.28,0.63,0.33,2,1,9.61,4.13,194.65,0.0,1,1,1
2017-06-13 16:47:40,4.52,788.52,2,2,1,138.59,7.58,339.7,2.38,2,1,1,2,1,2,1,17.67,2.05,852.43,1,2,1,1,2,1,0,54.09,1.59,602.37,2,1,1,1,2,7.26,113.36,294.25,39.14,1.6,1.27,0.63,0.33,2,1,9.61,4.13,194.65,0.0,1,1,1
2017-06-13 16:48:18,4.51,799.45,2,2,1,138.25,7.21,366.42,2.38,2,1,1,2,1,2,1,17.68,2.05,853.77,1,2,1,1,2,1,0,54.14,1.59,604.95,2,1,1,1,2,7.26,114.89,293.64,39.1,1.6,1.28,0.63,0.33,2,1,9.61,4.13,194.53,0.0,1,1,1
2017-06-13 16:48:56,0.0,804.27,1,2,1,138.27,7.06,381.16,2.38,2,1,1,2,1,2,1,17.61,2.05,856.47,1,2,1,1,2,1,0,54.47,1.59,607.6,2,1,1,1,2,7.26,115.66,293.09,39.26,1.6,1.28,0.63,0.33,2,1,9.61,4.1,194.45,0.0,1,1,1
2017-06-13 16:49:34,0.0,786.17,1,2,1,138.27,6.95,387.63,2.39,2,1,1,2,1,2,1,17.7,2.05,857.92,1,2,1,1,2,1,0,54.45,1.6,610.34,2,1,1,1,2,7.26,116.64,292.46,39.53,1.6,1.29,0.63,0.33,2,1,9.61,4.25,194.41,0.0,1,1,1
2017-06-13 16:50:12,0.0,766.52,1,2,1,138.27,7.38,342.29,2.38,2,1,1,2,1,2,1,17.71,2.05,863.08,1,2,1,1,2,1,0,55.14,1.6,615.93,2,1,1,1,2,7.26,117.56,292.1,39.72,1.6,1.29,0.63,0.33,2,1,9.61,4.18,194.25,0.0,1,1,1
2017-06-13 16:50:50,0.0,748.26,1,2,1,138.27,7.57,341.17,2.38,2,1,1,2,1,2,1,17.63,2.05,864.64,1,2,1,1,2,1,0,55.01,1.59,619.08,2,1,1,1,2,7.26,118.05,291.5,39.91,1.6,1.29,0.63,0.33,2,1,9.61,4.18,194.08,0.0,1,1,1
2017-06-13 16:51:28,0.0,731.0,1,2,1,138.27,7.16,369.81,2.38,2,1,1,2,1,2,1,17.64,2.05,865.84,1,2,1,1,2,1,0,55.6,1.6,620.63,2,1,1,1,2,7.25,119.23,290.97,39.84,1.6,1.28,0.63,0.33,2,1,9.61,4.21,194.05,0.0,1,1,1
2017-06-13 16:52:06,0.0,715.31,1,2,1,138.27,7.0,385.11,2.38,2,1,1,2,1,2,1,17.67,2.05,869.95,1,2,1,1,2,1,0,55.99,1.59,624.35,2,1,1,1,2,7.25,119.72,290.12,39.84,1.6,1.26,0.63,0.33,2,1,9.61,4.25,193.61,0.0,1,1,1
2017-06-13 16:52:44,0.0,696.21,1,2,1,138.27,7.05,375.87,2.38,2,1,1,1,1,2,1,17.62,2.05,874.01,1,2,1,1,2,1,0,56.14,1.6,629.73,2,1,1,1,2,7.25,120.94,289.25,40.11,1.61,1.29,0.63,0.33,2,1,9.61,4.23,193.76,0.0,1,1,1
2017-06-13 16:53:22,0.0,678.08,1,2,1,138.27,7.98,337.14,2.38,2,1,1,2,1,2,1,17.64,2.05,873.37,1,2,1,1,2,1,0,56.81,1.59,631.46,2,1,1,1,2,7.25,121.84,288.48,40.11,1.61,1.29,0.63,0.33,2,1,9.61,4.26,193.65,0.0,1,1,1
2017-06-13 16:54:00,0.0,659.27,1,2,1,138.27,7.31,366.09,2.38,2,1,1,2,1,2,1,0.05,0.12,882.64,2,1,2,1,1,1,0,56.8,1.6,629.22,2,1,1,1,2,7.25,122.2,288.04,39.95,1.61,1.28,0.63,0.33,2,1,9.61,4.26,193.52,0.0,1,2,1
2017-06-13 16:54:38,0.0,641.36,1,2,1,138.27,7.0,384.97,2.38,2,1,1,2,1,2,1,3.55,0.38,903.26,1,1,2,0,1,1,0,57.57,1.6,616.88,2,1,1,1,2,7.25,123.26,286.82,39.91,1.61,1.28,0.63,0.33,2,1,9.61,4.31,193.3,0.0,1,1,1
2017-06-13 16:55:16,0.0,625.02,1,2,1,138.27,6.94,387.27,2.38,2,1,1,1,1,2,1,4.0,0.38,917.28,1,1,2,2,1,1,0,57.91,1.6,606.42,2,1,1,1,2,7.24,123.81,286.5,40.03,1.61,1.29,0.63,0.32,2,1,9.61,4.26,193.09,0.0,1,1,1
2017-06-13 16:55:53,0.0,606.33,1,2,1,138.27,7.87,330.84,2.38,2,1,1,2,1,2,1,9.55,2.06,924.64,1,1,1,2,2,1,0,58.22,1.6,594.63,2,1,1,1,2,7.24,124.74,286.88,39.72,1.61,1.3,0.63,0.33,2,1,9.61,4.31,193.22,0.0,1,1,1
2017-06-13 16:56:31,0.0,589.62,1,2,1,138.27,7.22,364.6,2.38,2,1,1,2,1,2,1,17.78,2.06,928.13,1,2,1,1,2,1,0,58.5,1.6,585.65,2,1,1,1,2,7.24,125.28,287.17,39.84,1.61,1.29,0.63,0.33,2,1,9.61,4.26,193.14,0.0,1,1,1
2017-06-13 16:57:09,0.0,572.09,1,2,1,138.27,7.02,384.14,2.38,2,1,1,2,1,2,1,17.82,2.06,930.29,1,2,1,1,2,1,0,58.49,1.6,586.61,2,1,1,1,2,7.24,126.03,287.07,39.95,1.61,1.26,0.63,0.32,2,1,9.61,4.23,192.9,0.0,1,1,1
2017-06-13 16:57:47,0.0,555.15,1,2,1,138.27,6.96,382.17,2.38,2,1,1,1,1,2,1,17.84,2.06,932.37,1,2,1,1,2,1,0,59.06,1.6,591.84,2,1,1,1,2,7.24,126.43,286.18,40.18,1.61,1.3,0.63,0.33,2,1,9.61,4.31,193.04,0.0,1,1,1
2017-06-13 16:58:25,0.0,535.8,1,2,1,138.27,7.85,331.22,2.38,2,1,1,2,1,2,1,17.77,2.06,935.9,1,2,1,1,2,1,0,58.81,1.6,596.8,2,1,1,1,2,7.24,126.71,281.85,39.95,1.61,1.3,0.63,0.33,2,1,9.61,4.31,193.04,0.0,1,1,1
2017-06-13 16:59:03,0.0,517.63,1,2,1,138.23,7.24,364.67,2.37,2,1,1,2,1,2,1,17.82,2.05,937.83,1,2,1,1,2,1,0,59.86,1.6,595.81,2,1,1,1,2,7.24,127.53,280.3,39.91,1.61,1.29,0.63,0.33,2,1,9.61,4.29,192.95,0.0,1,1,1
2017-06-13 16:59:41,0.0,503.68,1,2,1,138.23,6.98,385.21,2.37,2,1,1,2,1,2,1,17.75,2.06,940.14,1,2,1,1,2,1,0,60.27,1.61,602.93,2,1,1,1,2,7.24,127.66,279.84,39.76,1.61,1.29,0.63,0.32,2,1,9.61,4.29,192.74,0.0,1,1,1
2017-06-13 17:00:19,4.48,498.35,2,2,1,138.23,7.17,366.73,2.38,2,1,1,2,1,2,1,17.75,2.06,943.07,1,2,1,1,2,1,0,60.68,1.6,606.17,2,1,1,1,2,7.24,128.74,279.35,39.61,1.61,1.27,0.62,0.32,2,1,9.61,4.29,192.58,0.0,1,1,1
2017-06-13 17:00:57,4.5,512.76,2,2,1,138.2,7.68,339.44,2.37,2,1,1,2,1,2,1,17.69,2.06,945.87,1,2,1,1,2,1,0,61.19,1.6,608.61,2,1,1,1,2,7.24,129.25,278.68,39.61,1.61,1.31,0.62,0.32,2,1,9.61,4.29,192.41,0.0,1,1,1
2017-06-13 17:01:35,4.5,528.58,2,2,1,138.17,7.14,371.29,2.38,2,1,1,2,1,2,1,17.78,2.06,948.15,1,2,1,1,2,1,0,61.36,1.61,614.12,2,1,1,1,2,7.24,129.74,277.69,39.57,1.62,1.29,0.62,0.32,2,1,9.61,4.29,192.34,0.0,1,1,1
2017-06-13 17:02:13,4.5,543.93,2,2,1,138.04,6.93,390.81,2.38,2,1,1,1,1,2,1,17.73,2.06,947.67,1,2,1,1,2,1,0,62.32,1.61,616.04,2,1,1,1,2,7.23,130.53,276.28,39.37,1.62,1.32,0.62,0.32,2,1,9.61,4.26,192.23,0.0,1,1,1
2017-06-13 17:02:51,4.51,559.67,2,2,1,138.04,7.89,345.4,2.38,2,1,1,2,1,2,1,17.77,2.06,954.12,1,2,1,1,2,1,0,62.26,1.61,619.91,2,1,1,1,2,7.23,130.76,274.67,39.22,1.62,1.29,0.62,0.32,2,1,9.61,4.34,192.02,0.0,1,1,1
2017-06-13 17:03:29,4.5,574.94,2,2,1,138.01,7.5,353.67,2.38,2,1,1,2,1,2,1,17.69,2.06,955.72,1,2,1,1,2,1,0,63.19,1.61,620.13,2,1,1,1,2,7.23,131.63,273.26,39.34,1.62,1.29,0.62,0.32,2,1,9.61,4.31,191.83,0.0,1,1,1
2017-06-13 17:04:07,4.5,590.12,2,2,1,137.91,7.01,383.84,2.38,2,1,1,2,1,2,1,17.74,2.06,958.62,1,2,1,1,2,1,0,63.91,1.61,625.81,2,1,1,1,2,7.23,132.04,271.75,38.99,1.62,1.32,0.62,0.32,2,1,9.61,4.26,191.67,0.0,1,1,1
2017-06-13 17:04:45,4.52,605.49,2,2,1,137.91,7.2,365.85,2.38,2,1,1,2,1,2,1,17.8,2.06,959.69,1,2,1,1,2,1,0,64.24,1.61,628.28,2,1,1,1,2,7.22,133.09,270.86,39.07,1.62,1.32,0.62,0.32,2,1,9.61,4.4,191.43,0.0,1,1,1
2017-06-13 17:05:23,4.51,619.7,2,2,1,137.91,7.78,345.16,2.39,2,1,1,2,1,2,1,17.82,2.06,961.14,1,2,1,1,2,1,0,65.01,1.61,631.78,2,1,1,1,2,7.22,133.86,269.67,39.07,1.62,1.31,0.62,0.32,2,1,9.61,4.47,191.36,0.0,1,1,1
2017-06-13 17:06:01,4.49,634.74,2,2,1,137.79,7.2,373.11,2.38,2,1,1,2,1,2,1,17.66,2.06,965.42,1,2,1,1,2,1,0,65.16,1.61,635.07,2,1,1,1,2,7.22,134.38,268.94,39.26,1.62,1.32,0.62,0.32,2,1,9.61,4.42,191.06,0.0,1,1,1
2017-06-13 17:06:39,4.51,653.38,2,2,1,137.79,6.87,394.15,2.39,2,1,1,1,1,2,1,17.8,2.06,968.22,1,2,1,1,2,1,0,65.96,1.61,638.37,2,1,1,1,2,7.22,134.99,267.91,38.76,1.62,1.3,0.62,0.32,2,1,9.61,4.42,191.02,0.0,1,1,1
2017-06-13 17:07:17,4.52,668.67,2,2,1,137.79,8.14,328.11,2.39,2,1,1,2,1,2,1,17.72,2.05,970.82,1,2,1,1,2,1,0,66.42,1.61,642.47,2,1,1,1,2,7.21,135.17,266.34,38.8,1.62,1.31,0.62,0.32,2,1,9.61,4.37,190.77,0.0,1,1,1
2017-06-13 17:07:55,4.51,682.4,2,2,1,137.56,7.35,357.94,2.39,2,1,1,2,1,2,1,17.76,2.06,973.19,1,2,1,1,2,1,0,67.06,1.62,644.53,2,1,1,1,2,7.21,136.32,264.9,38.53,1.62,1.33,0.62,0.32,2,1,9.61,4.47,190.72,0.0,1,1,1
2017-06-13 17:08:33,4.51,698.49,2,2,1,137.75,6.94,386.26,2.39,2,1,1,1,1,2,1,17.74,2.06,975.83,1,2,1,1,2,1,0,68.01,1.62,646.35,2,1,1,1,2,7.21,136.94,263.81,38.64,1.63,1.31,0.62,0.32,2,1,9.61,4.47,190.4,0.0,1,1,1
2017-06-13 17:09:11,4.51,708.55,2,2,1,137.59,7.66,344.76,2.39,2,1,1,2,1,2,1,17.69,2.06,975.75,1,2,1,1,2,1,0,68.34,1.62,651.84,2,1,1,1,2,7.21,137.4,262.66,38.61,1.63,1.31,0.62,0.32,2,1,9.61,4.47,190.26,0.0,1,1,1
2017-06-13 17:09:49,4.51,725.55,2,2,1,137.69,7.42,353.95,2.39,2,1,1,2,1,2,1,17.73,2.06,978.27,1,2,1,1,2,1,0,68.98,1.62,655.36,2,1,1,1,2,7.2,138.12,261.23,38.49,1.63,1.33,0.62,0.32,2,1,9.61,4.49,190.16,0.0,1,1,1
2017-06-13 17:10:27,4.51,741.73,2,2,1,137.69,6.97,380.76,2.39,2,2,1,2,1,2,1,17.81,2.06,982.08,1,2,1,1,2,1,0,69.14,1.62,659.11,2,1,1,1,2,7.2,138.18,259.84,38.28,1.63,1.3,0.62,0.32,2,1,9.61,4.53,190.02,0.0,1,1,1
2017-06-13 17:11:05,4.51,759.04,2,2,1,137.56,7.38,356.7,2.39,2,2,1,2,1,2,1,17.76,2.06,984.48,1,2,1,1,2,1,0,70.11,1.62,661.88,2,1,1,1,2,7.2,139.15,259.16,38.26,1.63,1.34,0.62,0.32,2,1,9.61,4.47,189.76,0.0,1,1,1
2017-06-13 17:11:42,4.51,772.77,2,2,1,137.56,7.54,347.72,2.4,2,2,1,2,1,2,1,17.78,2.06,987.17,1,2,1,1,2,1,0,70.67,1.62,663.1,2,1,1,1,2,7.2,139.38,257.91,38.11,1.63,1.3,0.62,0.32,2,1,9.61,4.47,189.66,0.0,1,1,1
2017-06-13 17:12:20,4.49,789.44,2,2,1,137.56,7.04,379.05,2.39,2,2,1,2,1,2,1,17.78,2.06,989.43,1,2,1,1,2,1,0,71.26,1.62,665.65,2,1,1,1,2,7.19,140.4,256.6,38.03,1.63,1.31,0.62,0.32,2,1,9.61,4.5,189.41,0.0,1,1,1
2017-06-13 17:12:58,3.38,803.2,1,2,1,137.56,7.01,378.63,2.4,2,2,1,1,1,2,1,17.67,2.06,993.8,1,2,1,1,2,1,0,72.03,1.62,671.2,2,1,1,1,2,7.19,141.12,255.45,37.84,1.63,1.32,0.62,0.32,2,1,9.61,4.55,189.36,0.0,1,1,1
2017-06-13 17:13:36,0.0,793.59,1,2,1,137.56,7.78,332.8,2.4,2,2,1,2,1,2,1,17.74,2.06,994.3,1,2,1,1,2,1,0,72.31,1.62,674.62,2,1,1,1,2,7.19,141.5,254.36,37.45,1.63,1.32,0.62,0.32,2,1,9.61,4.55,189.18,0.0,1,1,1
2017-06-13 17:14:14,0.0,774.63,1,2,1,137.56,7.14,371.17,2.39,2,2,1,2,1,2,1,17.72,2.05,998.14,1,2,1,1,2,1,0,73.21,1.62,677.02,2,1,1,1,2,7.18,142.09,253.33,37.34,1.63,1.34,0.62,0.32,2,1,9.61,4.62,188.97,0.0,1,1,1
2017-06-13 17:14:52,0.0,758.76,1,1,1,137.56,6.95,391.64,0.11,1,1,1,1,1,1,1,17.72,2.06,1000.62,1,2,1,1,2,1,0,73.31,1.62,679.63,2,1,1,1,2,7.18,142.48,252.18,37.45,1.63,1.33,0.62,0.32,2,1,9.61,4.58,188.73,0.0,1,1,1
